SPY,AAPL,MSFT,AMZN,TSLA,GOOGL,GOOG,FB,NVDA,BRK-B,JPM,JNJ,UNH,HD,PG,V,BAC,MA,PFE,XOM,DIS,CSCO,AVGO,ADBE,CVX,PEP,TMO,KO,ABBV,CMCSA,NFLX,ABT,ACN,COST,CRM,INTC,WFC,VZ,PYPL,WMT,QCOM,MRK,LLY,MCD,T,NKE,DHR,LOW,LIN,TXN,NEE,AMD,UNP,PM,INTU,UPS,HON,MS,MDT,BMY,AMAT,ORCL,SCHW,CVS,RTX,C,GS,AMGN,BLK,BA,CAT,IBM,SBUX,AMT,PLD,GE,ISRG,COP,TGT,ANTM,AXP,DE,MU,SPGI,MMM,NOW,BKNG,F,ADP,ZTS,LRCX,PNC,MDLZ,MO,ADI,GILD,LMT,SYK,GM,TFC,TJX
6.194593672760957e-05,6.733841450807356e-05,6.891717285516717e-05,7.049332541516066e-05,0.0001432101840827847,6.742369751296908e-05,6.785503365213618e-05,9.569054767557537e-05,0.0001763036565691669,2.8632273277315033e-05,4.15700300171811e-05,8.518757692582452e-06,4.715195100637914e-05,5.022692776444754e-05,1.6351087882865417e-05,7.025129225800343e-05,5.1470031083337374e-05,8.733233722113667e-05,-6.108953734500272e-05,5.8502826652600616e-05,5.60032424188543e-05,3.948153893169026e-05,8.860665402151855e-05,0.00011954057489654009,4.7293876953538645e-05,2.370502308113453e-05,2.364685366218378e-05,3.1653454282696194e-05,2.4424488681420856e-05,2.216444535874243e-05,6.405476802338055e-05,2.287629688837171e-05,6.680135294937979e-05,5.972767896401978e-05,0.00011906607679250542,7.153842281076058e-05,8.230944966155377e-05,-2.964784185189386e-06,8.904311126366413e-05,1.2595980293298525e-05,0.00011302067767201488,1.0643291502727357e-05,4.308751583682743e-05,3.785800514015123e-05,1.5827930816321955e-05,6.95523387827031e-05,5.180446842266886e-06,5.626471981668285e-05,4.020827055978307e-05,7.650370194142456e-05,3.8336045277373254e-05,0.00014841236635456314,3.9905730636846446e-05,7.6078973237110555e-06,0.00010591673479013449,4.9922130798655294e-05,4.9481795398063626e-05,6.010360136577089e-05,4.372017465934345e-05,3.94896747978525e-06,0.00011438857553124215,6.796104884084338e-05,7.583675004989411e-05,3.5288666882241817e-05,6.463770831994726e-05,3.150499347660169e-05,5.4482988843668736e-05,2.9318745163185543e-05,7.462875051552422e-05,9.230346238082322e-05,5.691861506198905e-05,1.3572497049241279e-05,6.469145387662405e-05,4.509020885521708e-05,5.3272877533451585e-05,7.75068399863564e-05,9.771403803606492e-05,8.773749053490403e-05,4.7550896634512375e-05,4.506513893852422e-05,8.022515496571787e-05,4.988916892236907e-05,9.406720641534427e-05,6.728637115509223e-05,3.3234992022955834e-05,0.00013999554351401048,0.00010203585616997546,0.00010827495994549431,5.752244661126324e-05,5.426869838859361e-05,7.631845043655384e-05,5.4839932121671984e-05,2.8663886550238823e-05,-1.3458632328694462e-05,8.380888557534764e-05,9.218579037180372e-06,2.04571345651309e-05,6.882220647428216e-05,9.571288705962475e-05,7.284272253583763e-05,7.371658885905253e-05
6.733841450807355e-05,0.00021566936693100239,9.666949864373509e-05,0.00014653445013551784,0.00017763738926694061,8.689846750389727e-05,8.54790110479748e-05,9.156760995412032e-05,0.0002219066377767871,1.0501898193154832e-05,2.2532412039921907e-05,-1.101910188248739e-05,4.999567889524522e-05,6.53123961400093e-05,-8.239246677833213e-06,6.553229961237183e-06,1.702593906197932e-05,1.0604555281245412e-05,-7.407325035156264e-05,1.3679878603177177e-05,3.3793988819746224e-05,2.3527025268248133e-05,0.00013528004476020386,0.00016814751084043758,1.9155065713156385e-05,1.908567875292648e-05,-6.398522126313673e-06,2.1773839264510535e-06,-5.671487301227829e-06,-3.932970421900338e-05,5.2143726599646626e-05,-1.2699419415975977e-05,4.713282341052081e-05,6.86446163929615e-05,9.70949888757665e-05,7.182331303252428e-05,6.685303499165758e-05,-5.3987658653728756e-05,6.183938914789428e-05,1.8080002222602867e-06,0.0001352706655507072,4.2254882966781485e-06,4.035156987349638e-05,2.92028615013926e-05,-4.5313985669168116e-05,8.018804070725602e-05,-2.8144636130704197e-06,5.683193773142314e-05,2.5574494768717884e-05,0.00011303962579462131,5.6224937683690726e-05,0.00016685978316646958,2.4358882032710866e-05,-6.956091079598128e-06,0.00011222485626325407,2.160693984762769e-05,3.761249009203364e-05,3.051692131916349e-05,2.8314685327711786e-05,-4.6802492784174425e-05,0.00015492002346520112,9.507435267002702e-05,4.456218522871846e-05,2.1893129157901827e-05,5.355954294810022e-05,1.351993486747444e-05,3.747811572142484e-05,2.7937944236634818e-05,5.5760863785259657e-05,7.290362743090669e-05,3.110691885516264e-05,1.5542762854519833e-05,9.951524411460876e-05,4.0874251052689646e-05,6.649830448674631e-05,6.507469290382135e-05,8.948141601818834e-05,7.380014739405858e-05,1.295273620228812e-05,4.685531171227758e-05,3.212448912400679e-05,1.1638466461580597e-05,0.00016517189019756498,5.983589015929768e-05,1.312795634293405e-05,0.00014940615007024254,8.041218782845396e-05,0.0001248944461951805,5.5796856548871184e-05,6.201831879604104e-05,0.0001690594036555979,3.570028345245334e-05,1.9257084204067055e-07,-5.980206301301246e-05,0.00011027644671296855,1.8671037573482985e-05,-6.599277495653823e-06,6.647121710552367e-05,5.450993271967453e-05,4.061860615374849e-05,6.663314113615029e-05
6.891717285516716e-05,9.66694986437351e-05,0.00021912222901507137,0.00010352744293148079,0.00018707502122116028,0.00019956054887540462,0.000197069445993861,0.0001038289611729599,0.00026784039037309505,-1.5522602629093784e-05,-2.2546452075086063e-05,-1.1159926236546796e-05,6.524031340883056e-05,8.578630639838497e-05,-2.636666185472589e-06,-4.8697952664217815e-05,-1.6826955206736968e-05,-2.58996435822256e-05,-8.442056362141844e-05,-1.543768577719259e-05,1.4044643661148838e-05,5.691180492782892e-05,0.0001236543391320043,0.00023551210654652015,-2.653546682877653e-06,1.0944933626554123e-05,7.189712489227939e-05,5.114947047661191e-05,2.9645928420057384e-05,-6.018800610735186e-05,0.00011517507123951341,4.872224511571725e-05,8.93942613849698e-05,0.00010749971455426257,0.00016223753571294552,8.685291272773992e-05,2.4207934089139988e-05,-4.684104550757778e-05,-2.560664161749036e-06,-1.1854699562291405e-05,0.00014598626636643964,-9.891820414276932e-06,6.589549183718923e-05,6.375476183539495e-05,-6.954817535596794e-05,9.285372340284538e-05,6.051366913123184e-05,8.587074718780465e-05,5.597412421360685e-05,4.124992109992755e-05,3.7755021171149246e-05,0.00020527716671583308,1.3119643327733442e-05,-4.323660669172778e-05,0.0002183650706379451,1.584541884898491e-05,3.0534819949291694e-05,5.326246332129862e-06,1.986757999327896e-05,-5.484930457616242e-05,0.00016059736400172926,0.00010174545808049165,1.3431945919509236e-05,2.2034871401346893e-05,3.6184788752821443e-05,-2.715560281156786e-05,-1.806211414630521e-07,8.246739274634878e-06,6.728056255975157e-05,1.1458863193749234e-05,-1.1056363604067621e-05,-5.885355373220412e-05,2.769182534804464e-06,4.568871916541581e-05,3.79156175416767e-05,-6.223308239050176e-06,0.00014890477871287798,5.922927115592953e-06,4.407054394710238e-05,5.172942373420768e-05,2.9123177426132714e-05,-3.950860917586548e-05,0.00011520559494769355,0.00010419795272050055,-1.4541975275122541e-05,0.0002065995131058163,6.319436907460755e-05,7.17346247069307e-05,0.00010299717773117977,9.408113367675564e-05,0.00013161362458996532,-7.062533773152321e-06,-4.985428753967709e-06,-4.856217157586851e-05,4.7900981849408166e-05,-5.301441912773034e-05,-1.5772521666851847e-05,5.195780264548127e-05,2.071500145500321e-05,-4.294849556371363e-06,4.448893975512428e-05
7.049332541516066e-05,0.00014653445013551784,0.0001035274429314808,0.000277568147629011,1.4010503840672903e-05,0.0001629552787665937,0.0001577225563137424,0.00013576346995456873,0.00037630411751266957,-7.0012550998339015e-06,-1.5023020973954937e-05,-1.3262302693295136e-05,5.42989262075789e-05,6.292992403595373e-05,-6.8839044133286e-06,-5.626054428466692e-06,-1.1524696812823569e-05,3.6969289497850495e-05,-0.00010007772927250607,2.9730397626480338e-05,5.0687904350918077e-05,-5.914248590714699e-06,0.00012947226550804163,0.00016535273146574636,1.3511089920723995e-05,2.5184106193580928e-05,-1.9657341585574755e-05,1.6800152208930415e-05,-1.8718875564830348e-05,-2.0514667320951234e-05,5.182756454580716e-05,-9.231342667027957e-06,4.213111052206048e-05,6.628862222823877e-05,0.00013589094982000816,0.00014997036262549065,2.3776121373575125e-05,-3.0290045868968098e-05,8.722875073404283e-06,-7.980808590163252e-06,0.00027683127520791636,-1.902899300563398e-05,6.552456168619612e-05,5.08299902541695e-05,-2.9200685889706147e-05,0.00010174197114942883,-5.122639831580915e-05,3.936273168048423e-05,1.9007824334949347e-05,9.568595745475151e-05,5.428720904734471e-05,0.0002259716060463071,-4.595132226377659e-06,-8.04769354696333e-06,9.94789697077883e-05,4.1750582028920534e-05,8.036687262589876e-05,2.961844413965175e-07,2.077354125541163e-05,-1.6930082681621036e-05,0.00019542187468270957,-6.539415334737043e-06,2.489860561589025e-05,3.4539763984038876e-05,5.761504933525125e-05,-2.3346946980763974e-07,-4.710843098425573e-06,2.133145725696135e-05,5.0933845330501536e-05,0.00011723053286498428,-7.67526837039466e-06,-2.6019440146880148e-05,8.111249745471028e-05,2.9127549082515008e-05,5.565419749003368e-05,7.650999713389703e-05,0.000116995343727456,6.942718029289869e-05,4.0123648632149485e-05,5.2343502022657416e-05,5.378091036870635e-06,7.630644977421289e-06,0.00016270997597837803,9.174456058157627e-05,2.716031499834535e-06,0.00017642204369651602,0.0001419389566911278,7.720717293877381e-05,6.134703898694882e-05,8.691955145601395e-05,0.0001616863875053865,-4.018839326297502e-06,1.9135771297187457e-05,-4.096865712777336e-05,0.00010550466414218517,6.660089232257727e-06,-4.7732446093228264e-05,5.782874293038105e-05,1.1611311546522583e-05,1.437225873002057e-05,0.00010631952516121249
0.0001432101840827847,0.00017763738926694061,0.00018707502122116028,1.4010503840672894e-05,0.0021403218123514007,4.2015521491773006e-05,5.7877300264654884e-05,0.000255481378135708,0.0005269901385635435,-9.540400748004148e-06,2.3054862778211765e-05,-5.796001767288586e-05,2.3018136404852253e-05,0.0001243249868985475,-6.0572883341259563e-05,0.0001296750850329863,8.267445724212073e-05,0.00012087457971166223,-0.00016769556503995874,5.76093532832499e-05,0.00020818109708943083,-1.7156640191830466e-05,0.0001461744789085123,0.00035747828285431164,6.1548619657143615e-06,-5.496699410151402e-05,9.283964560397757e-05,-1.9080015678652797e-05,-5.801203650678926e-06,6.723089718470938e-07,0.00021724325345911835,3.744297466293511e-05,0.00011021655642870265,0.00018519324394915585,0.0003164466804409317,0.00016411756208310798,0.00020875257789208427,-8.635813827833208e-05,0.0004522649144446235,2.0794619302477032e-05,0.00022653000393852045,4.044250310476777e-05,4.152816091113797e-05,8.398823217493155e-05,4.16149290695179e-05,0.0001797756258908684,-4.877388137905172e-05,0.00015694197855560982,5.324691957442311e-05,0.0001760528901224488,2.0368305292493697e-05,0.0004812687086864618,1.550899159005643e-05,-0.00013234090198344624,0.00029193624925495453,2.028918952642054e-05,-1.4359747496282314e-05,1.6194408419316177e-05,0.0001275943646887925,-0.00010251556025553912,0.000195204269245369,8.075862693376361e-05,8.645810524981974e-05,7.864924918249412e-05,3.7673629320392324e-05,3.0544582282856715e-05,3.4850728267030875e-05,1.894715599158876e-05,0.00010127561751883665,0.00017076485150123568,2.438592192456299e-05,-2.5083645779837303e-05,0.00014057076664500507,2.732252836610731e-05,3.231018361171068e-05,1.3230902846268293e-05,0.00020167390990214582,5.098604941625544e-05,6.807683091124624e-05,9.642363128120098e-06,-1.6571824098033166e-05,0.00024014145952362684,0.0002461566784485428,9.321046073793861e-06,1.5676136721847236e-05,0.0003171983240844739,0.00018737299970030186,0.0002243590187164441,8.753728617995485e-05,0.00011871148044972389,0.00012797104549608146,8.650062964282914e-05,-7.17776427693293e-05,-0.00016273745961729974,0.00019686268723235272,5.074556307340597e-05,9.830973514261735e-05,6.005517223359712e-05,0.0002489360657875546,0.00014181590884476528,0.00019732551422102683
6.742369751296908e-05,8.689846750389728e-05,0.00019956054887540462,0.0001629552787665937,4.201552149177301e-05,0.0002794083060627308,0.0002704264518120263,0.00012056041100649812,0.0002722612714013027,-8.959891649010997e-06,-2.114132804840833e-05,1.4139046841493918e-07,6.58094365757103e-05,8.237147299007903e-05,2.6102985715047336e-06,-5.5206178680056895e-05,-1.7227042828527806e-05,-2.227199272583066e-05,-8.639920900839307e-05,-7.5559311330547345e-06,2.7399326574132672e-05,6.129636580375022e-05,0.00010703108934595837,0.00018265149600990503,6.421640544337908e-06,2.799856416343409e-05,4.314136848281881e-05,6.525973991142333e-05,3.053910569332959e-05,-4.862391917259572e-05,6.97777136865694e-05,1.4547787672047219e-05,7.564576850667855e-05,6.59179107861403e-05,0.00014259303612458943,0.0001655003739885148,3.035487918386999e-05,-2.2154908365285e-05,3.086537418183665e-05,-2.520743955755895e-05,0.0001484115202813128,-2.906188091589749e-05,8.095852215058123e-05,7.566054428219045e-05,-3.536689168064749e-05,7.051992554539891e-05,2.3967922805959613e-05,7.509964774931543e-05,4.721415376283368e-05,2.983587364038765e-05,2.707396799152073e-05,0.00015700726810102085,-2.060104354978424e-06,-2.196469481360745e-05,0.00017391376605513324,5.05734544403801e-06,5.7019133715495684e-05,7.973237402074078e-06,1.315592812504598e-05,-3.385283131735112e-05,0.00013273198829392993,3.9558411070837746e-05,1.6358780662854624e-05,2.0389314120336846e-05,5.195204945915187e-05,-1.3822116203714176e-05,-1.0279427106412836e-06,1.347532049992296e-05,5.7907413017924447e-05,3.795491994890398e-05,-5.098256820615805e-07,-2.223172575177082e-05,2.0770413750105282e-06,3.522355974432613e-05,4.0657107695619526e-05,1.0414246987340003e-05,0.00015242067978388024,2.934127717838039e-05,3.557175096603631e-05,4.7297456650170976e-05,1.3576019062283416e-05,-5.1953470083137125e-05,8.995222585101948e-05,9.929318304603989e-05,-6.734087243344879e-06,0.00016765029265521875,9.12265135266893e-05,1.1660667586460569e-05,9.712869383906798e-05,8.717039349869337e-05,0.00011199737107982936,-5.542013169962912e-06,6.105732284570853e-06,-1.7137920382349404e-05,2.2250013012206627e-05,-5.285990958666012e-05,-3.8588195359291234e-05,5.4400062796027704e-05,5.421450201577271e-06,-1.086837494120485e-05,6.286460752713246e-05
6.785503365213618e-05,8.547901104797483e-05,0.000197069445993861,0.00015772255631374242,5.78773002646549e-05,0.0002704264518120263,0.00026512202788054945,0.0001276724177742355,0.000265223510764813,-9.00030846693191e-06,-2.0668032371812173e-05,-2.3013124433085544e-06,6.178904245647067e-05,8.529324503064184e-05,-1.7234200434902413e-06,-4.8585825957185794e-05,-1.8411228802484643e-05,-1.2986658224449454e-05,-8.907892028086413e-05,-1.1764500818755288e-05,2.609232148376533e-05,5.796606107499191e-05,0.00010604604197926419,0.00019007603254409347,4.919526739281e-06,2.2908738210301303e-05,4.0527852255542567e-05,6.355243880518677e-05,2.7122529513369996e-05,-4.631413513564969e-05,7.401068381932647e-05,1.3947683353358766e-05,7.52137960758276e-05,7.274366756688356e-05,0.00014439563490309406,0.00016547932065381717,2.888208632633592e-05,-2.7128658036660404e-05,3.462774565965845e-05,-2.3959061907999572e-05,0.0001560190422117669,-2.7304181851806286e-05,7.48570840561439e-05,7.450236151532753e-05,-3.5790725165559045e-05,7.263808056840003e-05,1.8288474567002044e-05,7.860581176757415e-05,4.803800854159218e-05,3.577055339907939e-05,2.472368115838622e-05,0.00015942282739278264,-1.6163472782161078e-08,-2.1969872639368744e-05,0.0001781746336046128,-6.888916285712156e-06,5.4886008105229035e-05,6.3943200626988005e-06,1.3965298002732531e-05,-3.661352538115288e-05,0.00013997148426041483,4.321817588925499e-05,1.57772860681043e-05,1.6612075917922125e-05,5.499094376289806e-05,-1.505359769124008e-05,-5.516498115157776e-07,1.19220917974307e-05,5.9476010583942276e-05,4.177281371149127e-05,1.6177761418455311e-06,-2.9023655611991497e-05,6.093710268811668e-07,3.434230408244241e-05,3.976934051444735e-05,4.320006519682561e-06,0.0001486196235689579,2.2629482691886928e-05,4.5021383744905225e-05,4.5349913081439866e-05,1.6480601907872416e-05,-4.1262435437076884e-05,9.210594274847374e-05,9.17920197718919e-05,-6.0950825084478364e-06,0.0001757360959909117,8.867478814569045e-05,1.25799485960402e-05,9.745966137385827e-05,8.939948399280672e-05,0.0001113296081904871,-4.354525608522634e-06,2.9990795949263573e-06,-2.1187836371901775e-05,2.7003540583580943e-05,-5.1905576565785524e-05,-1.2330190528469103e-05,5.4060692529338204e-05,1.229394927285023e-05,-1.0623821302459838e-05,6.452691211342288e-05
9.569054767557536e-05,9.156760995412032e-05,0.0001038289611729599,0.00013576346995456873,0.000255481378135708,0.00012056041100649812,0.00012767241777423546,0.00043709563918979346,0.0001908511880145117,2.00324176527443e-05,-3.8840911288138875e-06,9.132175290770851e-06,6.726904284406137e-06,2.4659653799528197e-05,-1.3101928819041562e-05,0.00012819785731705118,-5.061297198201473e-06,0.0001516444582076292,-0.00010820158352305274,3.230789485375227e-05,0.00010812928481875278,3.783883587155177e-05,9.261017724191756e-05,0.00019606292055118893,5.6730000764648104e-05,1.2368794354547168e-05,1.4451756698979866e-05,3.909754364210786e-05,3.9185495064694614e-05,3.2886728020351635e-05,0.00010564764149874025,-3.0482385541729177e-06,3.9205985297269014e-05,8.838239482231743e-05,0.00021459429293728665,0.0003423223081462877,8.087870326703524e-05,-4.832056508069047e-06,0.0001933524926295569,3.795312998923616e-05,0.00021165140292690566,-2.846980383113377e-05,9.94936855892545e-06,8.893062425601871e-05,4.096615600920072e-05,0.0001184162304770949,-4.681334837619236e-05,5.356296757031884e-05,3.331661948860894e-05,0.00015764840795582746,3.0791761963029534e-05,0.00023953664071394462,-3.380451312270065e-06,1.1058240129401215e-05,0.00013168198108138952,-6.738085310271798e-05,0.00012475256815954025,2.406280746303106e-05,4.320279878411839e-05,3.571241556035954e-05,0.00018122305907680077,2.6552390893582737e-05,6.164218804473258e-05,2.8046766181452273e-05,0.00012268937067828856,1.0715344130370877e-05,1.2985832718253334e-05,5.110450038894033e-05,5.947204603747348e-05,0.0002153757910219299,9.586937271828122e-05,2.8948229752232126e-05,5.212615397193269e-05,-6.0789797121829395e-06,5.901026995289721e-05,9.984078931514756e-05,7.905961647791786e-05,8.219252281670876e-05,6.528818256722684e-05,5.0848489830886476e-05,2.0259970373195883e-05,0.00015225691437623554,0.00023706768783082857,1.7027611880557837e-05,7.813797139396868e-05,0.00026300687839788187,0.00016434215732981803,0.000193181358122367,4.625340072884558e-05,9.493851951346726e-05,0.00014823927784083274,2.0566214042869166e-05,1.2490566013293764e-05,-2.2620134003482237e-05,0.0001462013455475255,-1.0305112724143818e-05,0.00021123005354333607,0.0001015568790800152,0.00013599121227663786,6.564965902702704e-05,0.00014189134263591793
0.0001763036565691669,0.00022190663777678715,0.00026784039037309505,0.00037630411751266957,0.0005269901385635435,0.0002722612714013027,0.000265223510764813,0.00019085118801451167,0.0014214765135591389,-1.1412456100424119e-05,1.2338206732880151e-05,-3.1033272019581196e-05,0.0001266792998100111,0.0001785621086354133,-2.261450987488646e-05,0.00013183269857519934,3.239259855832318e-05,0.00010475089803998355,-0.00019384375668916092,0.00012691068615855767,6.806760553805391e-05,-2.4830914867585376e-05,0.0003359071352831199,0.0005212944280915156,6.26067967874458e-05,-5.591519520989608e-07,0.00010279038143623414,-1.40378331500812e-05,-3.48259758481007e-06,-7.782743853598247e-05,0.00016247808658242891,7.640792824169477e-05,0.0001621417228126304,0.00021963648907363215,0.00042914599770347856,0.00016341690575228366,6.541169328449167e-05,-0.0001244069613184445,0.00013418451913313123,2.381569064927269e-05,0.0007221934498339153,8.14470526768653e-05,0.00015680941841868384,5.609483752825157e-05,-0.00016383161758158345,0.0002424916248893623,7.757612543073694e-05,0.00017735999204987772,0.00012728529613495687,0.0002939427413443128,5.756495757016569e-05,0.00093344777567554,3.128547184952861e-05,-0.00015695338330163258,0.0004463203330261072,0.00021739575440885285,5.361131634777369e-05,0.00010050726633041584,4.4068381815601866e-05,-8.859928598193393e-05,0.000474316985979526,8.624169384280857e-05,5.590806878512888e-05,-4.630067420026949e-06,1.0973743603731744e-06,-1.8889018948778166e-05,7.165703661269551e-05,-9.910077731073865e-06,0.0002232470673268548,9.0165296543293e-05,6.79326316343696e-05,-9.609622345239418e-05,7.71816929468196e-05,0.000149597457139984,0.00013663994787972293,0.0001386933468123918,0.00026564829687779053,0.00017173556063533734,0.00019238706708515446,4.821286769746641e-05,9.782244457321967e-05,9.371203652430759e-05,0.0004179151087763149,0.00030641246427489803,-4.6855718294259546e-05,0.0005190520200805402,0.000218065883783276,0.00030690442797834714,0.00013033643293149376,0.00026942420781799137,0.0003424637054776292,2.0430757332932554e-05,-3.365027224824883e-05,-0.00014555488758585849,0.0003451364257455522,-6.840133868755859e-05,-0.00022433228967116988,9.05798744681125e-05,0.0002751500308808373,6.220396788211778e-05,0.00012533319532936375
2.863227327731503e-05,1.0501898193154833e-05,-1.552260262909378e-05,-7.001255099833896e-06,-9.540400748004148e-06,-8.959891649011007e-06,-9.000308466931907e-06,2.0032417652744295e-05,-1.1412456100424119e-05,7.568344626568009e-05,8.022678721654168e-05,2.9746251055151416e-05,2.0162599828305818e-05,7.677046134768321e-07,3.549638306575661e-05,7.110600966789793e-05,9.484241825885433e-05,7.12210213896529e-05,-3.1451699391743176e-05,7.459429185813991e-05,3.7538941127282834e-05,3.5643714792553154e-05,1.1935086636573302e-05,-1.0745246862352093e-05,5.886281298080427e-05,2.6702697184709645e-05,-1.6316709460563652e-05,4.010489014247511e-05,1.93098110633756e-05,4.125052245816107e-05,-1.55532500732935e-06,-2.093944646058953e-06,3.1407528814536796e-05,6.533392781509267e-06,2.5307792772332156e-05,2.0332127915252635e-06,0.0001194285027466953,3.553791998720678e-05,7.813275718582704e-05,3.2142060988500896e-05,-2.0172960582017076e-05,3.5561320282953785e-05,2.4919696582417344e-05,1.4965128544966231e-05,6.40928519493584e-05,1.3632889639106296e-05,-2.0168566374592548e-05,1.6747531573276107e-05,2.4372626847285372e-05,2.1363933495415203e-05,1.5030761534192775e-05,-2.868838609437905e-06,5.5014025701025284e-05,4.313727066642768e-05,1.064283597749009e-05,6.40872311258055e-05,3.9897191550996284e-05,8.916651198781669e-05,4.556627015651355e-05,2.7702967542552404e-05,1.1387312224326676e-05,7.465272750668532e-05,0.0001059174710197335,3.7068118318490766e-05,6.162778976024148e-05,7.096616200103841e-05,9.120703519956113e-05,3.308298630734287e-05,5.4663568764195675e-05,5.217703450656306e-05,8.948120924504504e-05,4.291659273340213e-05,5.695878134329318e-05,3.653269210316972e-05,2.7703762196508242e-05,8.948036413134846e-05,2.311963633103027e-05,0.00011264105856113863,1.6196079627640313e-05,3.7934762748032466e-05,8.9009439311338e-05,5.579398248526989e-05,3.0256304591575903e-05,2.450995557699223e-05,4.823307073119236e-05,9.235929575211267e-06,5.880439390048776e-05,9.672597008751256e-05,1.302897554257994e-05,-1.8869622723496848e-05,-4.430284961936942e-06,9.493328957057091e-05,4.678551747239668e-05,3.131193464575433e-05,1.4316596613705476e-05,3.6962049566118824e-05,2.628387087641896e-05,4.690852524247266e-05,8.995388576578538e-05,0.0001024762506174633,2.465137394544104e-05
